"pid","grp","duration","entry","exit"
1656,"inactive",226,55,221
1658,"inactive",223,55,218
1659,"inactive",226,55,221
1675,"inactive",230,56,225
1682,"inactive",230,56,225
1683,"inactive",228,56,223
1687,"inactive",228,56,223
1697,"inactive",229,56,224
1699,"inactive",227,57,222
1700,"inactive",232,57,227
1707,"inactive",227,57,222
1710,"inactive",228,57,223
1720,"inactive",231,57,226
1721,"inactive",229,57,224
1727,"inactive",232,58,227
1735,"inactive",231,58,226
1738,"inactive",244,58,239
1743,"inactive",231,58,226
1749,"inactive",236,59,231
1754,"inactive",238,59,233
1762,"inactive",234,59,229
1777,"inactive",236,60,231
1781,"inactive",239,60,234
1791,"inactive",239,60,234
1805,"inactive",241,60,236
1806,"inactive",240,61,235
1826,"inactive",253,61,248
1831,"inactive",242,62,237
1835,"inactive",246,62,241
1855,"inactive",247,62,242
1856,"inactive",249,62,244
1860,"inactive",251,62,246
1863,"inactive",250,62,245
1875,"inactive",252,63,247
1878,"inactive",255,63,250
1879,"inactive",255,63,250
1884,"inactive",250,63,245
1887,"inactive",251,63,246
1889,"inactive",254,63,249
1890,"inactive",256,63,251
1908,"inactive",252,64,247
1910,"inactive",254,64,249
1938,"inactive",266,65,261
1948,"inactive",260,65,255
1953,"inactive",260,65,255
1961,"inactive",262,65,257
1965,"inactive",266,66,261
1966,"inactive",263,66,258
1967,"inactive",263,66,258
1971,"inactive",263,66,258
1980,"inactive",261,66,256
1997,"inactive",270,67,265
2006,"inactive",268,67,263
2011,"inactive",265,67,260
2024,"inactive",270,67,265
2030,"inactive",267,68,262
2036,"inactive",268,68,263
2045,"inactive",268,68,263
2052,"inactive",272,68,267
2054,"inactive",270,69,265
2063,"inactive",270,69,265
2071,"inactive",269,69,264
2074,"inactive",273,69,268
2075,"inactive",272,69,267
2086,"inactive",276,69,271
2087,"inactive",275,69,270
2113,"inactive",275,70,270
2132,"inactive",277,71,272
2139,"inactive",277,71,272
2140,"inactive",279,71,274
2142,"inactive",276,71,271
2147,"inactive",276,72,271
2165,"inactive",281,72,276
2177,"inactive",279,73,274
2178,"inactive",278,73,273
2181,"inactive",279,73,274
2182,"inactive",285,73,280
2184,"inactive",283,73,278
2193,"inactive",279,73,274
2203,"inactive",278,73,273
2218,"inactive",283,74,278
2224,"inactive",283,74,278
2231,"inactive",282,74,277
2241,"inactive",286,74,281
2251,"inactive",285,75,280
2252,"inactive",283,75,278
2255,"inactive",289,75,284
2259,"inactive",288,75,283
2272,"inactive",284,76,279
2295,"inactive",294,76,289
2303,"inactive",292,76,287
2308,"inactive",287,76,282
2309,"inactive",286,77,281
2318,"inactive",288,77,283
2321,"inactive",290,77,285
2332,"inactive",289,77,284
2336,"inactive",290,78,285
2341,"inactive",293,78,288
2349,"inactive",292,78,287
2354,"inactive",290,78,285
2355,"inactive",295,78,290
2360,"inactive",292,78,287
2364,"inactive",295,79,290
2369,"inactive",293,79,288
2383,"inactive",291,79,286
2385,"inactive",293,80,288
2387,"inactive",293,80,288
2393,"inactive",298,80,293
2397,"inactive",294,80,289
2400,"inactive",295,80,290
2415,"inactive",299,80,294
2418,"inactive",300,80,295
2421,"inactive",296,81,291
2430,"inactive",299,81,294
2451,"inactive",301,81,296
2455,"inactive",300,82,295
2457,"inactive",301,82,296
2460,"inactive",297,82,292
2467,"inactive",304,82,299
2470,"inactive",312,82,307
2472,"inactive",308,82,303
2477,"inactive",303,82,298
2481,"inactive",301,82,296
2492,"inactive",301,83,296
2499,"inactive",302,83,297
2505,"inactive",307,83,302
2509,"inactive",304,83,299
2516,"inactive",304,83,299
2523,"inactive",305,84,300
2528,"inactive",304,84,299
2531,"inactive",303,84,298
2533,"inactive",304,84,299
2539,"inactive",314,84,309
2543,"inactive",304,84,299
2549,"inactive",310,84,305
2550,"inactive",309,84,304
2554,"inactive",308,84,303
2559,"inactive",305,85,300
2560,"inactive",308,85,303
2573,"inactive",308,85,303
2581,"inactive",309,85,304
2587,"inactive",310,86,305
2588,"inactive",310,86,305
2592,"inactive",314,86,309
2601,"inactive",311,86,306
2606,"inactive",309,86,304
2612,"inactive",313,86,308
2614,"inactive",314,87,309
2616,"inactive",310,87,305
2622,"inactive",313,87,308
2634,"inactive",312,87,307
2640,"inactive",315,87,310
2643,"inactive",315,87,310
2649,"inactive",313,88,308
2656,"inactive",314,88,309
2678,"inactive",318,88,313
2684,"inactive",318,89,313
2694,"inactive",315,89,310
2700,"inactive",316,89,311
2701,"inactive",317,89,312
2715,"inactive",319,90,314
2723,"inactive",317,90,312
2724,"inactive",321,90,316
2727,"inactive",318,90,313
2743,"inactive",324,91,319
2751,"inactive",321,91,316
2752,"inactive",325,91,320
2754,"inactive",322,91,317
2767,"inactive",324,91,319
2781,"inactive",325,92,320
2783,"inactive",326,92,321
2800,"inactive",326,92,321
2804,"inactive",324,92,319
2811,"inactive",324,92,319
2814,"inactive",329,93,324
2826,"inactive",329,93,324
2832,"inactive",325,93,320
2836,"inactive",328,93,323
2839,"inactive",328,93,323
2842,"inactive",327,93,322
2848,"inactive",332,93,327
2850,"inactive",328,93,323
2854,"inactive",335,94,330
2855,"inactive",340,94,335
2861,"inactive",331,94,326
2865,"inactive",330,94,325
2876,"inactive",330,95,325
2877,"inactive",333,95,328
2878,"inactive",333,95,328
2887,"inactive",334,95,329
2908,"inactive",335,95,330
2911,"inactive",331,95,326
2912,"inactive",334,95,329
2926,"inactive",337,96,332
2960,"inactive",340,97,335
2969,"inactive",333,97,328
2973,"inactive",339,98,334
2986,"inactive",340,98,335
2988,"inactive",338,98,333
2991,"inactive",338,98,333
2997,"inactive",346,98,341
3013,"inactive",338,99,333
3017,"inactive",343,99,338
3022,"inactive",340,99,335
3027,"inactive",342,99,337
3037,"inactive",341,99,336
3041,"inactive",344,100,339
3047,"inactive",345,100,340
3076,"inactive",346,101,341
3082,"inactive",344,101,339
3089,"inactive",347,101,342
3097,"inactive",349,102,344
3099,"inactive",345,102,340
3101,"inactive",346,102,341
3106,"inactive",348,102,343
3142,"inactive",347,103,342
3148,"inactive",355,103,350
3155,"inactive",350,103,345
3161,"inactive",352,103,347
3171,"inactive",355,104,350
3175,"inactive",353,104,348
3186,"inactive",352,104,347
3189,"inactive",354,104,349
3194,"inactive",352,104,347
3199,"inactive",355,105,350
3226,"inactive",359,106,354
3228,"inactive",357,106,352
3233,"inactive",357,106,352
3234,"inactive",356,106,351
3237,"inactive",357,106,352
3241,"inactive",357,106,352
3248,"inactive",363,106,358
3255,"inactive",364,106,359
3256,"inactive",358,106,353
3304,"inactive",363,108,358
3312,"inactive",366,108,361
3316,"inactive",363,108,358
3317,"inactive",362,108,357
3319,"inactive",363,108,358
3321,"inactive",362,108,357
3322,"inactive",361,108,356
3329,"inactive",365,109,360
3330,"inactive",366,109,361
3347,"inactive",365,109,360
3349,"inactive",367,109,362
3350,"inactive",369,109,364
3354,"inactive",364,109,359
3365,"inactive",367,110,362
3368,"inactive",369,110,364
3375,"inactive",370,110,365
3381,"inactive",373,110,368
3385,"inactive",369,110,364
3390,"inactive",373,110,368
3393,"inactive",373,110,368
3403,"inactive",370,111,365
3433,"inactive",372,112,367
3443,"inactive",375,113,370
3444,"inactive",374,113,369
3455,"inactive",373,113,368
3456,"inactive",373,113,368
3463,"inactive",376,113,371
3467,"inactive",373,113,368
3469,"inactive",375,113,370
3479,"inactive",375,114,370
3482,"inactive",379,114,374
3495,"inactive",378,114,373
3499,"inactive",377,114,372
3525,"inactive",385,115,380
3538,"inactive",380,116,375
3540,"inactive",382,116,377
3545,"inactive",380,116,375
3546,"inactive",377,116,372
3553,"inactive",381,116,376
3558,"inactive",383,116,378
3559,"inactive",382,117,377
3567,"inactive",387,117,382
3569,"inactive",388,117,383
3579,"inactive",388,117,383
3580,"inactive",383,117,378
3586,"inactive",385,117,380
3593,"inactive",386,117,381
3596,"inactive",386,118,381
3601,"inactive",388,118,383
3602,"inactive",383,118,378
3608,"inactive",386,118,381
3623,"inactive",393,119,388
3632,"inactive",392,119,387
3645,"inactive",386,119,381
3648,"inactive",389,120,384
3655,"inactive",387,120,382
3664,"inactive",389,120,384
3668,"inactive",390,120,385
3676,"inactive",391,120,386
3694,"inactive",392,121,387
3695,"inactive",392,121,387
3702,"inactive",391,121,386
3730,"inactive",403,122,398
3734,"inactive",397,123,392
3737,"inactive",399,123,394
3738,"inactive",398,123,393
3747,"inactive",403,123,398
3759,"inactive",397,123,392
3773,"inactive",399,124,394
3789,"inactive",399,125,394
3792,"inactive",401,125,396
3810,"inactive",400,125,395
3821,"inactive",399,126,394
3822,"inactive",400,126,395
3826,"inactive",409,126,404
3828,"inactive",402,126,397
3841,"inactive",408,126,403
3842,"inactive",403,126,398
3843,"inactive",406,126,401
3847,"inactive",408,126,403
3853,"inactive",403,126,398
3854,"inactive",406,126,401
3860,"inactive",404,127,399
3872,"inactive",403,127,398
3876,"inactive",403,127,398
3877,"inactive",403,127,398
3878,"inactive",403,127,398
3879,"inactive",407,127,402
3883,"inactive",403,128,398
3884,"inactive",408,128,403
3893,"inactive",411,128,406
3897,"inactive",412,128,407
3916,"inactive",410,129,405
3926,"inactive",408,129,403
3927,"inactive",411,129,406
3931,"inactive",411,129,406
3936,"inactive",414,129,409
3940,"inactive",416,130,411
3945,"inactive",409,130,404
3949,"inactive",414,130,409
3960,"inactive",410,130,405
3961,"inactive",413,130,408
3965,"inactive",412,130,407
3966,"inactive",411,130,406
3976,"inactive",417,131,412
3983,"inactive",413,131,408
3984,"inactive",416,131,411
3988,"inactive",413,131,408
3992,"inactive",413,131,408
4018,"inactive",414,132,409
4019,"inactive",417,132,412
4042,"inactive",417,133,412
4048,"inactive",420,133,415
4052,"inactive",419,133,414
4053,"inactive",422,133,417
4054,"inactive",418,133,413
4059,"inactive",422,134,417
4060,"inactive",420,134,415
4075,"inactive",422,134,417
4080,"inactive",423,134,418
4092,"inactive",420,135,415
4097,"inactive",421,135,416
4111,"inactive",428,135,423
4127,"inactive",425,136,420
4135,"inactive",425,136,420
4146,"inactive",424,137,419
4157,"inactive",430,137,425
4159,"inactive",431,137,426
4160,"inactive",426,137,421
4161,"inactive",424,137,419
4165,"inactive",429,138,424
4166,"inactive",431,138,426
4167,"inactive",431,138,426
4168,"inactive",431,138,426
4173,"inactive",430,138,425
4185,"inactive",428,138,423
4188,"inactive",430,139,425
4206,"inactive",429,139,424
4208,"inactive",431,139,426
4210,"inactive",430,139,425
4220,"inactive",432,140,427
4223,"inactive",433,140,428
4226,"inactive",436,140,431
4238,"inactive",434,140,429
4250,"inactive",432,141,427
4280,"inactive",435,142,430
4293,"inactive",439,142,434
4302,"inactive",439,142,434
4303,"inactive",437,143,432
4309,"inactive",443,143,438
4344,"inactive",441,144,436
4347,"inactive",445,144,440
4351,"inactive",441,144,436
4352,"inactive",439,144,434
4353,"inactive",440,144,435
4355,"inactive",445,144,440
4368,"inactive",442,145,437
4381,"inactive",441,145,436
4383,"inactive",444,145,439
4384,"inactive",442,145,437
4391,"inactive",449,146,444
4397,"inactive",446,146,441
4405,"inactive",448,146,443
4409,"inactive",449,146,444
4410,"inactive",450,146,445
4420,"inactive",445,147,440
4421,"inactive",451,147,446
4429,"inactive",446,147,441
4446,"inactive",448,148,443
4450,"inactive",453,148,448
4454,"inactive",452,148,447
4465,"inactive",454,148,449
4466,"inactive",450,148,445
4480,"inactive",449,149,444
4481,"inactive",449,149,444
4482,"inactive",454,149,449
4490,"inactive",455,149,450
4501,"inactive",453,150,448
4509,"inactive",454,150,449
4528,"inactive",454,150,449
4536,"inactive",453,150,448
4538,"inactive",454,150,449
4539,"inactive",455,151,450
4545,"inactive",458,151,453
4550,"inactive",454,151,449
4555,"inactive",456,151,451
4562,"inactive",457,151,452
4563,"inactive",460,151,455
4568,"inactive",462,151,457
4571,"inactive",460,151,455
4573,"inactive",457,151,452
4579,"inactive",464,152,459
4581,"inactive",457,152,452
4584,"inactive",466,152,461
4590,"inactive",457,152,452
4596,"inactive",458,152,453
4609,"inactive",466,153,461
4611,"inactive",460,153,455
4612,"inactive",464,153,459
4618,"inactive",462,153,457
4628,"inactive",461,154,456
4636,"inactive",465,154,460
4654,"inactive",464,154,459
4662,"inactive",464,155,459
4674,"inactive",474,156,469
4685,"inactive",466,156,461
4686,"inactive",466,156,461
4691,"inactive",467,156,462
4706,"inactive",475,157,470
4716,"inactive",470,157,465
4722,"inactive",472,157,467
4724,"inactive",469,157,464
4731,"inactive",470,158,465
4737,"inactive",475,158,470
4751,"inactive",475,158,470
4753,"inactive",476,158,471
4758,"inactive",471,159,466
4776,"inactive",477,159,472
4778,"inactive",471,159,466
4786,"inactive",472,160,467
4787,"inactive",474,160,469
4789,"inactive",475,160,470
4793,"inactive",474,160,469
4798,"inactive",476,160,471
4799,"inactive",480,160,475
4809,"inactive",480,160,475
4814,"inactive",476,160,471
4826,"inactive",478,161,473
4839,"inactive",477,161,472
4841,"inactive",478,162,473
4846,"inactive",478,162,473
4849,"inactive",480,162,475
4853,"inactive",477,162,472
4854,"inactive",483,162,478
4859,"inactive",481,162,476
4860,"inactive",479,162,474
4873,"inactive",482,163,477
4901,"inactive",484,163,479
4904,"inactive",480,163,475
4905,"inactive",482,164,477
4907,"inactive",479,164,474
4934,"inactive",485,164,480
4938,"inactive",485,165,480
4941,"inactive",486,165,481
4944,"inactive",484,165,479
4956,"inactive",487,165,482
4966,"inactive",489,166,484
4984,"inactive",489,166,484
4985,"inactive",494,166,489
4991,"inactive",492,166,487
4997,"inactive",495,167,490
5013,"inactive",491,168,486
5016,"inactive",500,168,495
5017,"inactive",489,168,484
5033,"inactive",493,168,488
5034,"inactive",492,168,487
5049,"inactive",494,169,489
5054,"inactive",493,169,488
5060,"inactive",493,169,488
5067,"inactive",492,169,487
5070,"inactive",495,169,490
5075,"inactive",500,169,495
5078,"inactive",492,170,487
5082,"inactive",497,170,492
5090,"inactive",501,170,496
5093,"inactive",497,170,492
5095,"inactive",501,170,496
5100,"inactive",495,170,490
5104,"inactive",495,170,490
5109,"inactive",497,170,492
5112,"inactive",500,170,495
5124,"inactive",502,171,497
5131,"inactive",498,171,493
5140,"inactive",499,171,494
5143,"inactive",501,171,496
5147,"inactive",501,171,496
5164,"inactive",498,172,493
5172,"inactive",503,172,498
5176,"inactive",503,173,498
5179,"inactive",503,173,498
5185,"inactive",506,173,501
5193,"inactive",505,173,500
5196,"inactive",505,173,500
5206,"inactive",505,174,500
5214,"inactive",508,174,503
5217,"inactive",512,174,507
5251,"inactive",510,176,505
5253,"inactive",516,176,511
5272,"inactive",516,177,511
5275,"inactive",513,177,508
5294,"inactive",516,177,511
5299,"inactive",518,178,513
5315,"inactive",520,178,515
5334,"inactive",522,179,517
5351,"inactive",527,179,522
5358,"inactive",523,179,518
5361,"inactive",530,180,525
5369,"inactive",525,180,520
5375,"inactive",526,180,521
5378,"inactive",533,180,528
5426,"inactive",533,182,528
5442,"inactive",535,183,530
5445,"inactive",539,183,534
5450,"inactive",536,183,531
5459,"inactive",540,183,535
5466,"inactive",537,183,532
5475,"inactive",537,183,532
5477,"inactive",538,183,533
5485,"inactive",543,184,538
5489,"inactive",544,184,539
5499,"inactive",548,184,543
5501,"inactive",545,184,540
5517,"inactive",544,185,539
5518,"inactive",541,185,536
5525,"inactive",545,185,540
5526,"inactive",545,185,540
5534,"inactive",544,186,539
5551,"inactive",547,186,542
5556,"inactive",547,186,542
